Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ADHD,Alcobra Ltd.,5.03,$138.63M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
BNFT,"Benefitfocus, Inc.",42.61,$1.26B,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
HNRG,Hallador Energy Company,5.4,$157.96M,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/hnrg
CCOI,"Cogent Communications Holdings, Inc.",36.69,$1.67B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ccoi
PAVM,PAVmed Inc.,14.4195,$191.92M,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/pavm
BOLD,"Audentes Therapeutics, Inc.",15.08,$316.99M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bold
AVK,Advent Claymore Convertible Securities and Income Fund,14.71,$346.87M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
CAAS,"China Automotive Systems, Inc.",3.69,$118.53M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas
TNGO,"Tangoe, Inc.",8.84,$348.57M,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tngo
CLRBW,"Cellectar Biosciences, Inc.",0.2166,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbw
SWH,"Stanley Black & Decker, Inc.",128.09,$20.02B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/swh
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,30.54,$769.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifgl
FUEL,Rocket Fuel Inc.,2.39,$104.82M,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fuel
DD^B,E.I. du Pont de Nemours and Company,109.4999,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^b
ININ,"Interactive Intelligence Group, Inc.",58.2,$1.29B,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/inin
PYPL,PayPal Holdings,38.1,$45.98B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pypl
BUD,Anheuser-Busch Inbev SA,123.11,$197.96B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
ESG,FlexShares STOXX US ESG Impact Index Fund,50.71,$5.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/esg
JVA,"Coffee Holding Co., Inc.",5.695,$34.56M,2005,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/jva
PCRX,"Pacira Pharmaceuticals, Inc.",45.4,$1.69B,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pcrx
DCO,Ducommun Incorporated,22.94,$256.17M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/dco
DGI,"DigitalGlobe, Inc",27.38,$1.72B,2009,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/dgi
PNW,Pinnacle West Capital Corporation,77.44,$8.61B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/pnw
CG,The Carlyle Group L.P.,16.79,$5.44B,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg
MSLI,Merus Labs International Inc.,1.2499,$146.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/msli
DSKX,"DS Healthcare Group, Inc.",0.6699,$12.88M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/dskx
BBY,"Best Buy Co., Inc.",33.56,$10.83B,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/bby
TOO^B,Teekay Offshore Partners L.P.,22.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/too^b
ALNY,"Alnylam Pharmaceuticals, Inc.",76.4,$6.55B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
TKF,"Turkish Investment Fund, Inc. (The)",8.42,$39.22M,1989,n/a,n/a,http://www.nasdaq.com/symbol/tkf
COB,CommunityOne Bancorp,13.06,$317.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cob
B,"Barnes Group, Inc.",40.28,$2.17B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/b
NVTA,Invitae Corporation,9.68,$310.28M,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/nvta
VTNR,"Vertex Energy, Inc",1.3,$38.7M,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vtnr
ACGL,Arch Capital Group Ltd.,74.87,$9.18B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
SLRA,Solar Capital Ltd.,25.37,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slra
PSCD,PowerShares S&P SmallCap Consumer Discretionary Portfolio,49.66,$79.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pscd
BVXV,BiondVax Pharmaceuticals Ltd.,3.87,$13.07M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bvxv
SYBT,"Stock Yards Bancorp, Inc.",29.85,$670.99M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt
ICE,Intercontinental Exchange Inc.,276.97,$33B,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice
GSM,Ferroglobe PLC,9.36,$1.61B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gsm
CIBR,First Trust NASDAQ Cybersecurity ETF,18.2599,$94.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cibr
BCRX,"BioCryst Pharmaceuticals, Inc.",4.95,$364.78M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx
ERB,"ERBA Diagnostics, Inc.",0.57,$25.13M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/erb
BCH,Banco De Chile,67.61,$11.07B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bch
IPHS,"Innophos Holdings, Inc.",41.41,$804.61M,2006,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/iphs
