PWSID,Population,Water
3810011,846601.0,1117.51332
3310074,13168.0,81.77328
1910007,110000.0,330.0
3610018,194467.0,781.7573399999999
3610057,14500.0,96.135
4810002,9826.0,37.43706
5710001,65783.0,118.4094
4910006,61258.0,112.10214
510002,31750.0,94.2975
4910009,170093.0,377.60646
3710018,29955.0,135.69615
1910140,9600.0,65.952
110008,73067.0,142.48065
110003,57091.0,196.96395
3710001,95358.0,154.47995999999995
3010094,12700.0,49.53
4410013,10309.0,16.08204
4110021,37165.0,82.5063
1910090,39147.0,182.03355
2710009,14726.0,22.089000000000002
1310001,27743.0,169.78716
3710025,189970.0,302.0523
3710006,134053.0,333.79197
3010042,34816.0,133.69343999999998
3310044,29900.0,90.59700000000001
3710034,217600.0,528.7679999999998
4210016,31872.0,179.75808
1910157,30611.0,93.66966
3610073,24601.0,64.94664
3310049,96139.0,597.0231899999999
1910204,31037.0,223.4664
4310011,990000.0,3207.6
1910036,150148.0,238.73532000000003
1510019,18488.0,54.90936
4910018,3592.0,8.72856
3010002,42397.0,157.71684
710006,35375.0,89.145
1910013,46300.0,109.73100000000001
4110022,87696.0,152.59104
4810008,86893.0,583.9209599999999
1910011,57934.0,99.06714000000001
5410015,59535.0,158.95845
5810002,18808.0,49.65312
3310009,535600.0,1430.0520000000001
1910030,36215.0,93.4347
3010101,154234.0,407.17776
1010001,13960.0,52.7688
3710013,33657.0,116.11665
3410023,21441.0,59.17716
1910059,115000.0,507.14999999999986
3110025,95000.0,709.65
5710006,57223.0,101.28471
110011,31994.0,98.86146
1510032,14120.0,53.3736
5710003,50836.0,82.35432
3010069,59227.0,199.00272
710009,14608.0,40.31808
3710016,19495.0,78.3699
1910186,102889.0,481.52052
4110025,39000.0,46.8
1910019,49041.0,175.07636999999997
3610014,47612.0,127.12404
710008,66183.0,174.72312
1910240,117251.0,358.7880600000001
1910098,44466.0,80.0388
1910211,133000.0,199.5
2710008,17898.0,40.80744
710007,35646.0,175.37831999999997
3010046,67700.0,261.999
