Price,Bedrooms,Bathrooms,Size,Santa Maria-Orcutt (0/1),Paso Robles (0/1),Atascadero (0/1),Nipomo (0/1),Arroyo Grande (0/1),Lompoc (0/1),Los Osos (0/1),Grover Beach (0/1), Paso Robles (0/1),San Miguel (0/1)
229900.0,3,2,1458,0,0,0,0,0,0,0,0,0,1
300000.0,3,3,2328,1,0,0,0,0,0,0,0,0,0
385000.0,3,2,2000,1,0,0,0,0,0,0,0,0,0
289000.0,4,3,2100,1,0,0,0,0,0,0,0,0,0
265000.0,3,2,1617,0,0,1,0,0,0,0,0,0,0
90000.0,2,1,756,0,0,1,0,0,0,0,0,0,0
134900.0,3,1,1080,1,0,0,0,0,0,0,0,0,0
294900.0,4,2,1856,1,0,0,0,0,0,0,0,0,0
160000.0,2,3,1200,1,0,0,0,0,0,0,0,0,0
399000.0,4,2,1947,0,0,0,0,0,0,0,0,1,0
270000.0,3,2,1344,0,0,0,0,0,0,0,0,1,0
239500.0,3,2,1400,1,0,0,0,0,0,0,0,0,0
249000.0,3,2,1176,0,1,0,0,0,0,0,0,0,0
749000.0,3,2,2145,0,0,0,0,1,0,0,0,0,0
169990.0,3,2,1465,0,1,0,0,0,0,0,0,0,0
65900.0,2,2,840,1,0,0,0,0,0,0,0,0,0
399000.0,4,2,2139,0,1,0,0,0,0,0,0,0,0
299000.0,2,1,1068,0,1,0,0,0,0,0,0,0,0
239000.0,3,3,1800,1,0,0,0,0,0,0,0,0,0
279000.0,3,2,1381,0,1,0,0,0,0,0,0,0,0
239000.0,4,3,1947,1,0,0,0,0,0,0,0,0,0
219000.0,3,2,1600,1,0,0,0,0,0,0,0,0,0
409000.0,3,2,1960,0,1,0,0,0,0,0,0,0,0
309900.0,4,3,2248,1,0,0,0,0,0,0,0,0,0
330000.0,3,3,1900,1,0,0,0,0,0,0,0,0,0
275000.0,3,2,1200,0,0,0,0,0,0,1,0,0,0
225000.0,3,2,1600,1,0,0,0,0,0,0,0,0,0
454500.0,4,3,1900,0,0,1,0,0,0,0,0,0,0
248000.0,3,2,1400,1,0,0,0,0,0,0,0,0,0
239900.0,4,2,1656,1,0,0,0,0,0,0,0,0,0
580000.0,3,3,2271,0,1,0,0,0,0,0,0,0,0
155000.0,3,2,1340,1,0,0,0,0,0,0,0,0,0
345000.0,3,3,2020,1,0,0,0,0,0,0,0,0,0
279000.0,4,3,2580,1,0,0,0,0,0,0,0,0,0
259000.0,3,2,1640,0,1,0,0,0,0,0,0,0,0
360000.0,4,3,3000,0,0,0,0,0,1,0,0,0,0
105000.0,1,1,731,1,0,0,0,0,0,0,0,0,0
110000.0,3,2,1000,1,0,0,0,0,0,0,0,0,0
229900.0,3,2,1198,0,0,1,0,0,0,0,0,0,0
640000.0,3,3,2160,0,0,1,0,0,0,0,0,0,0
695000.0,5,6,3750,0,1,0,0,0,0,0,0,0,0
239000.0,3,3,1800,1,0,0,0,0,0,0,0,0,0
259900.0,3,2,1726,1,0,0,0,0,0,0,0,0,0
290000.0,3,2,1426,0,1,0,0,0,0,0,0,0,0
339900.0,4,2,2100,1,0,0,0,0,0,0,0,0,0
249000.0,4,3,1963,1,0,0,0,0,0,0,0,0,0
299000.0,4,3,1768,1,0,0,0,0,0,0,0,0,0
294900.0,3,2,1316,0,1,0,0,0,0,0,0,0,0
