,County Name,State,ObamaVotes.12,RomneyVotes.12,votes_dem.16,votes_gop.16,total_votes.16,per_dem.16,per_gop.16,diff.16,per_point_diff.16,bushVote.04,kerryVote.04,Total.Precincts.08,Precincts.Reporting.08,Obama.08,McCain.08,Other.08,name,x_coord,y_coord,state_abbr,total_population,white_population,white_population_error,black_population,black_population_error,total_households,average_household_size,average_family_size,fertility,enrolled_hs,enrolled_higher_ed,edu_less_than_9th,edu_hs_no_diploma,edu_hs_diploma,edu_college_no_degree,edu_college_bachelors,edu_college_graduate_professional,in_labor_force_yes,in_labor_force_no,public_transportation_to_work,working_at_home,occupation_management_business_science_arts,income_less_than_10000,income_10000_to_24999,income_25000_to_49999,income_50000_to_99999,income_100000_to_149999,income_150000_to_199999,income_more_than_200000
839,eastcarroll,louisiana,2244,1122,1838,1059,2939,0.6253827833,0.3603266417,2439,592,1357,1980,24,24,2267,1254,38,East Carroll Parish,-91.235346,32.734118,LA,7964,2187,236,5727,253,2426,2.61,3.2,90,355,130,519,1451,1902,731,283,148,2434,3588,0,35,490,487,771,631,357,98,98,76
840,eastfeliciana,louisiana,4648,5397,4235,5569,10042,0.4217287393,0.5545708026,313,122,5021,4091,23,23,4383,5431,132,East Feliciana Parish,-91.048695,30.850269,LA,20417,10750,584,9303,75,6662,2.75,3.4,187,1137,882,1184,1856,5568,3013,1353,383,8515,8056,23,242,1616,740,1659,1692,1779,575,575,135
841,eastland,texas,970,5443,776,6008,6935,0.1118961788,0.8663302091,1934,2393,5247,1582,10,10,1271,5163,68,Eastland,-98.827763,32.331043,TX,18560,16755,551,NA,NA,7273,2.41,3.03,258,1080,1313,895,1851,4231,2763,1271,642,7654,7333,0,295,1955,844,1985,2068,1882,323,323,108
842,eaton,michigan,27912,26193,24534,27608,55686,0.440577524,0.4957799088,1300,1758,29777,25410,64,64,30736,25898,982,Eaton,-84.846014,42.587962,MI,108002,95599,634,6288,517,43358,2.46,3.02,1409,6813,7667,1614,3876,21879,20038,11475,6126,58009,27728,285,1767,17703,2439,5529,11284,16439,5594,5594,555
843,eauclaire,wisconsin,30618,23218,27271,23301,54080,0.5042714497,0.4308616864,1604,2358,24644,30049,57,57,33143,20944,793,Eau Claire,-91.286578,44.726606,WI,97381,91089,358,844,274,39240,2.35,2.93,1124,4805,13652,2023,2780,17591,11835,11894,5903,56472,22441,475,1852,16772,2788,8367,9867,12321,4051,4051,813
844,echols,georgia,173,917,156,1006,1175,0.1327659574,0.8561702128,2557,2339,757,231,3,3,201,981,5,Echols,-82.898962,30.716702,GA,3973,2706,746,NA,NA,1297,3.06,3.33,114,243,158,399,365,1033,351,83,61,1785,1045,101,52,366,80,388,450,311,35,35,3
845,ector,texas,8095,23936,10225,24976,36373,0.2811151129,0.6866631842,431,1130,27502,8579,36,36,9118,26190,240,Ector,-102.542114,31.8652,TX,133015,109970,254,5542,567,47653,2.76,3.3,2751,8194,7665,10573,10851,23799,18681,7198,3134,65093,33358,254,1617,13691,3983,9201,12306,14922,4664,4664,1398
846,eddy,new mexico,6110,12546,5008,13124,19523,0.2565179532,0.6722327511,2495,1171,13266,6879,41,41,7289,12468,242,Eddy,-104.2984,32.466262,NM,52665,42984,1154,NA,NA,19320,2.68,3.21,758,3384,2425,2787,3968,11412,8003,3192,1966,25679,14568,207,1049,7125,1347,3607,5214,5804,1993,1993,542
847,eddy,north dakota,484,631,354,790,1219,0.2904019688,0.6480721903,1713,929,653,533,5,5,582,548,34,Eddy,-98.900015,47.723346,ND,2455,2372,448,NA,NA,1036,2.36,3.07,23,170,77,191,119,515,425,238,74,1205,726,0,137,432,102,195,339,318,61,61,7
848,edgar,illinois,2563,5125,1778,5634,7783,0.2284466144,0.7238853912,1575,1510,5256,3093,29,29,3737,4393,114,Edgar,-87.747173,39.678973,IL,18776,18405,726,NA,NA,7877,2.32,2.87,256,977,571,473,1054,5541,2817,1600,618,9404,5726,9,436,2277,631,1711,2423,2220,692,692,89
849,edgecombe,north carolina,18249,8494,16152,8219,24653,0.6551738125,0.3333874174,2468,793,7990,12478,23,23,17365,8416,56,Edgecombe,-77.596413,35.913972,NC,56247,22071,547,32240,405,21601,2.51,3.12,998,3758,2945,3205,5425,14218,7647,2863,884,25314,18385,211,240,4462,3145,5617,5937,5438,1164,1164,85
850,edgefield,south carolina,4965,6511,4491,6842,11644,0.385692202,0.5875987633,972,361,5611,4051,17,17,5072,6332,111,Edgefield,-81.970777,33.769976,SC,26680,15562,330,10329,189,9121,2.62,3.09,202,1767,1200,1649,2398,6807,3412,2091,949,11572,9895,121,232,2996,1063,2086,1792,2830,1047,1047,60
851,edmonson,kentucky,1374,3232,979,4135,5239,0.1868677228,0.789272762,1340,1972,3595,1856,10,10,1652,3562,56,Edmonson,-86.245617,37.213035,KY,12086,11729,429,NA,NA,4752,2.43,2.84,156,727,356,1028,923,3838,1342,345,244,5446,4435,0,112,1106,583,1187,1462,1244,209,209,19
852,edmunds,south dakota,622,1264,380,1433,1918,0.1981230448,0.7471324296,56,1744,1434,765,7,7,819,1213,44,Edmunds,-99.209666,45.413325,SD,4047,3962,790,NA,NA,1587,2.53,3.05,48,188,76,351,125,1116,509,445,155,2014,1229,27,189,712,105,290,475,503,132,132,55
853,edwards,illinois,754,2402,432,2777,3312,0.1304347826,0.8384661836,968,2304,2412,930,12,12,1140,2136,73,Edwards,-88.057655,38.416822,IL,6707,6545,93,NA,NA,2788,2.35,3.05,59,388,265,159,353,1597,1126,390,220,3452,1899,4,182,837,216,657,855,803,169,169,35
854,edwards,kansas,291,1048,208,1033,1308,0.1590214067,0.7897553517,2518,2078,1072,383,15,15,326,979,29,Edwards,-99.304068,37.883476,KS,3052,2759,991,NA,NA,1389,2.14,2.56,39,175,97,127,250,639,542,366,98,1672,765,5,48,555,105,268,441,428,87,87,37
855,edwards,texas,232,641,302,741,1065,0.2835680751,0.6957746479,1722,1153,745,217,6,6,346,673,12,Edwards,-100.300348,29.971228,TX,2029,1924,972,NA,NA,858,2.34,3.26,0,108,18,308,134,348,219,234,69,976,664,0,111,280,104,212,229,185,88,88,40
