Institution ID,Number of full-time undergraduates
144351,1427.0
144467,1590.0
144485,1549.0
144564,2229.0
144573,94.0
144740,15773.0
144795,321.0
144865,18910.0
144883,780.0
144892,8235.0
144944,8173.0
144962,3200.0
144971,719.0
145099,181.0
145239,434.0
145275,0.0
145309,33.0
145336,2399.0
145354,57.0
145372,1232.0
145406,234.0
145424,75.0
145433,106.0
145460,377.0
145497,515.0
145521,1383.0
145558,0.0
145600,15972.0
145619,3601.0
145628,0.0
145637,34295.0
145646,2010.0
145682,7158.0
145691,1033.0
145707,1260.0
145725,2825.0
145770,238.0
145813,17086.0
145831,2747.0
145886,0.0
146010,514.0
146205,3995.0
146241,0.0
146278,1633.0
146296,11401.0
146339,1017.0
146348,2969.0
146366,3867.0
146393,1651.0
146418,3356.0
146427,1408.0
146454,36.0
146472,11041.0
146481,1590.0
146490,0.0
146506,7499.0
146533,215.0
146603,4189.0
146612,4313.0
146621,52.0
146667,569.0
146676,1124.0
146685,5460.0
146700,983.0
146719,10138.0
146728,0.0
146755,172.0
146791,339.0
146807,45.0
146816,150.0
146825,562.0
146977,0.0
147004,4886.0
147013,2046.0
147031,0.0
147129,619.0
147165,453.0
147244,2305.0
147341,1252.0
147369,2813.0
147378,12008.0
147396,45.0
147411,3236.0
147439,98.0
147536,1143.0
147590,183.0
147642,82.0
147660,2686.0
147679,2009.0
147697,0.0
147703,14566.0
147749,429.0
147767,9017.0
147776,6849.0
147800,7271.0
147819,61.0
147828,3347.0
147916,7326.0
147970,225.0
148007,4050.0
148016,484.0
148098,72.0
148131,1193.0
148140,310.0
148177,2419.0
148256,2778.0
148292,2434.0
148335,3546.0
148380,6269.0
148399,546.0
148405,942.0
148487,3073.0
148496,1861.0
148511,99.0
148575,357.0
148584,1607.0
148593,115.0
148627,2594.0
148654,2436.0
148672,1719.0
148724,0.0
148821,1787.0
148849,109.0
148876,1176.0
148885,0.0
148937,1473.0
148955,106.0
148982,0.0
148991,1118.0
149028,189.0
149204,61.0
149222,12800.0
149231,10364.0
149310,401.0
149329,56.0
149365,3972.0
149499,19.0
149505,1185.0
149514,852.0
149532,8817.0
149550,277.0
149639,129.0
149727,7698.0
149763,348.0
149772,9526.0
149781,2616.0
149842,10800.0
150048,236.0
150066,2043.0
150075,8.0
150136,16696.0
150145,1612.0
150163,3920.0
150172,625.0
150215,0.0
150251,221.0
150288,0.0
150303,242.0
150400,2360.0
150428,74.0
150437,55.0
150455,1076.0
150534,2621.0
150604,1061.0
150668,884.0
150677,1429.0
150695,56.0
150710,86.0
150756,1131.0
150765,104.0
150774,441.0
150853,199.0
150941,1101.0
150987,71493.0
151102,9684.0
151111,18906.0
151166,4244.0
151263,3801.0
151290,3993.0
151306,8925.0
151324,9490.0
151333,2378.0
151342,5191.0
151351,32087.0
151360,4034.0
151379,4669.0
151388,2754.0
151458,432.0
151467,385.0
151494,557.0
151500,332.0
151519,4652.0
151537,46.0
151564,43.0
151607,152.0
151616,590.0
151625,324.0
151652,212.0
151661,1245.0
151777,1334.0
151786,2210.0
151801,9898.0
151810,395.0
151829,124.0
151865,0.0
151874,54.0
151944,539.0
151962,334.0
152044,144.0
152080,9280.0
152099,1214.0
152150,42.0
152220,370.0
152248,6568.0
152266,3629.0
152275,209.0
152309,105.0
152318,2058.0
152327,48.0
152336,1762.0
152363,1130.0
152381,615.0
152390,1539.0
152415,664.0
152451,0.0
152497,309.0
152530,2185.0
152567,1710.0
152600,3071.0
152628,97.0
152637,9876.0
152673,911.0
152798,366.0
152822,1121.0
152992,939.0
153001,2450.0
153074,179.0
153083,298.0
153092,9.0
153108,1512.0
153126,896.0
153144,1502.0
153162,1276.0
153171,52.0
153214,15337.0
153241,99.0
153250,1432.0
